Recording Date,Production Order,Production Line,Material Type,Manufacturing Process,Width Change,Grammage,Length,Width,Reference,Reference Type,Team,Week Day,Shift,Speed,Ventilation 1,Ventilation 2,Ventilation 3,Ventilation 4,Ventilation 5,Ventilation 6,Temperature 1,Temperature 2,Temperature 3,Temperature 4,Temperature 5,Temperature 6,Tension,RC,VC,RC Out?,VC Out?
20180111125500,5160098135,323,PBA02,BPDUP,N,91.0,5520,1850,B3768,B,A,QUI,1,29.64,1206.6,909.51,957.47,839.84,799.91,0.33,152.6,138.66,143.13,117.98,108.71,0.0,15.65,55.8,6.6,"[55,56[","[6.5,7.0["
20180111160700,5160098135,323,PBA02,BPDUP,N,91.0,5520,1850,B3768,B,B,QUI,2,30.87,1207.25,908.85,958.12,842.45,800.35,0.33,153.71,138.88,148.2,119.66,108.58,0.0,20.11,56.7,,"[56,57[",
20180111140500,5160098135,323,PBA02,BPDUP,N,91.0,5520,1850,B3768,B,B,QUI,2,29.64,1208.12,909.29,956.81,841.15,800.78,0.33,152.1,138.24,142.87,119.53,108.2,0.0,16.96,56.3,,"[56,57[",
20180111144030,5160098135,323,PBA02,BPDUP,N,91.0,5520,1850,B3768,B,B,QUI,2,29.64,1206.81,907.99,958.12,840.93,800.13,0.33,151.93,138.2,143.09,119.7,108.46,0.0,20.46,56.0,,"[56,57[",
20180111190237,5160098161,323,PBA02,BPDUP,N,73.0,5120,1850,B3822,B,B,QUI,2,35.8,1206.81,909.07,957.9,842.45,800.13,0.33,154.09,139.9,147.99,118.99,109.84,0.0,22.45,58.6,,"[58,59[",
20180122165800,5160098346,323,PBA02,BPDUP,N,66.0,2460,1850,M563,M,A,SEG,2,20.42,896.27,832.9,850.69,793.19,799.26,0.33,118.99,120.63,126.44,108.2,97.8,0.0,15.83,59.1,,"[59,60[",
20180122175600,5160098346,323,PBA02,BPDUP,N,66.0,2460,1850,M563,M,A,SEG,2,20.88,897.35,833.33,850.26,793.84,800.35,0.33,119.24,123.9,128.34,108.41,101.95,0.0,17.56,59.0,,"[59,60[",
20180122175700,5160098358,323,PBA02,BPDUP,N,66.0,5520,1850,M563,M,A,SEG,2,20.86,897.57,833.55,849.18,792.75,799.26,0.33,119.12,123.56,128.26,108.67,102.33,0.0,17.62,59.0,,"[59,60[",
20180122182500,5160098295,323,PBA02,BPDUP,N,66.0,5520,1850,M2451,M,A,SEG,2,21.1,895.83,833.12,851.35,793.19,799.91,0.33,119.46,123.86,128.51,109.38,101.24,0.0,16.2,58.9,,"[58,59[",
20180122185200,5160098332,323,PBA02,BPDUP,N,71.0,5520,1850,M2197,M,A,SEG,2,21.09,896.05,833.33,851.35,794.27,800.35,0.33,119.75,124.12,128.13,109.46,101.58,0.0,17.36,58.4,,"[58,59[",
